"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-35562","AMZN","cvelistV5/cves/2026/35xxx/CVE-2026-35562.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2026-35561","AMZN","cvelistV5/cves/2026/35xxx/CVE-2026-35561.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2026-35560","AMZN","cvelistV5/cves/2026/35xxx/CVE-2026-35560.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2026-35559","AMZN","cvelistV5/cves/2026/35xxx/CVE-2026-35559.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2026-35558","AMZN","cvelistV5/cves/2026/35xxx/CVE-2026-35558.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2026-14904","AMZN","cvelistV5/cves/2026/14xxx/CVE-2026-14904.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-14471","AMZN","cvelistV5/cves/2026/14xxx/CVE-2026-14471.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-14265","AMZN","cvelistV5/cves/2026/14xxx/CVE-2026-14265.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-13769","AMZN","cvelistV5/cves/2026/13xxx/CVE-2026-13769.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-13769","AMZN","cvelistV5/cves/2026/13xxx/CVE-2026-13769.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-13760","AMZN","cvelistV5/cves/2026/13xxx/CVE-2026-13760.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12530","AMZN","cvelistV5/cves/2026/12xxx/CVE-2026-12530.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-12043","AMZN","cvelistV5/cves/2026/12xxx/CVE-2026-12043.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11931","AMZN","cvelistV5/cves/2026/11xxx/CVE-2026-11931.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11417","AMZN","cvelistV5/cves/2026/11xxx/CVE-2026-11417.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11401","AMZN","cvelistV5/cves/2026/11xxx/CVE-2026-11401.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11400","AMZN","cvelistV5/cves/2026/11xxx/CVE-2026-11400.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11393","AMZN","cvelistV5/cves/2026/11xxx/CVE-2026-11393.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-11393","AMZN","cvelistV5/cves/2026/11xxx/CVE-2026-11393.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
