"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-64093","NCSC-NL","cvelistV5/cves/2025/64xxx/CVE-2025-64093.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-64093","NCSC-NL","cvelistV5/cves/2025/64xxx/CVE-2025-64093.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-64092","NCSC-NL","cvelistV5/cves/2025/64xxx/CVE-2025-64092.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-64092","NCSC-NL","cvelistV5/cves/2025/64xxx/CVE-2025-64092.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-64091","NCSC-NL","cvelistV5/cves/2025/64xxx/CVE-2025-64091.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-64090","NCSC-NL","cvelistV5/cves/2025/64xxx/CVE-2025-64090.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59819","NCSC-NL","cvelistV5/cves/2025/59xxx/CVE-2025-59819.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59818","NCSC-NL","cvelistV5/cves/2025/59xxx/CVE-2025-59818.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59817","NCSC-NL","cvelistV5/cves/2025/59xxx/CVE-2025-59817.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59816","NCSC-NL","cvelistV5/cves/2025/59xxx/CVE-2025-59816.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59816","NCSC-NL","cvelistV5/cves/2025/59xxx/CVE-2025-59816.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59815","NCSC-NL","cvelistV5/cves/2025/59xxx/CVE-2025-59815.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-59815","NCSC-NL","cvelistV5/cves/2025/59xxx/CVE-2025-59815.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
