"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-10538","LGE","cvelistV5/cves/2025/10xxx/CVE-2025-10538.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-10538","LGE","cvelistV5/cves/2025/10xxx/CVE-2025-10538.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10538","LGE","cvelistV5/cves/2025/10xxx/CVE-2025-10538.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-10204","LGE","cvelistV5/cves/2025/10xxx/CVE-2025-10204.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7742","LGE","cvelistV5/cves/2025/7xxx/CVE-2025-7742.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-7742","LGE","cvelistV5/cves/2025/7xxx/CVE-2025-7742.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-6179","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6179.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-6179","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6179.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6178","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6178.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-6178","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6178.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6177","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6177.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-6177","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6177.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-6176","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6176.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-6176","LGE","cvelistV5/cves/2024/6xxx/CVE-2024-6176.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-2863","LGE","cvelistV5/cves/2024/2xxx/CVE-2024-2863.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-2862","LGE","cvelistV5/cves/2024/2xxx/CVE-2024-2862.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-2862","LGE","cvelistV5/cves/2024/2xxx/CVE-2024-2862.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-1886","LGE","cvelistV5/cves/2024/1xxx/CVE-2024-1886.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1886","LGE","cvelistV5/cves/2024/1xxx/CVE-2024-1886.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2024-1885","LGE","cvelistV5/cves/2024/1xxx/CVE-2024-1885.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1885","LGE","cvelistV5/cves/2024/1xxx/CVE-2024-1885.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-44129","LGE","cvelistV5/cves/2023/44xxx/CVE-2023-44129.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-44128","LGE","cvelistV5/cves/2023/44xxx/CVE-2023-44128.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-44127","LGE","cvelistV5/cves/2023/44xxx/CVE-2023-44127.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2023-44126","LGE","cvelistV5/cves/2023/44xxx/CVE-2023-44126.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
