"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-13319","Digi","cvelistV5/cves/2025/13xxx/CVE-2025-13319.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-13319","Digi","cvelistV5/cves/2025/13xxx/CVE-2025-13319.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-13319","Digi","cvelistV5/cves/2025/13xxx/CVE-2025-13319.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.event","Timeline entry must have an 'event' field"
"CVE-2025-13319","Digi","cvelistV5/cves/2025/13xxx/CVE-2025-13319.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-13319","Digi","cvelistV5/cves/2025/13xxx/CVE-2025-13319.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.0.eventDate","Timeline entry must have an 'eventDate' field"
"CVE-2025-13319","Digi","cvelistV5/cves/2025/13xxx/CVE-2025-13319.json","check-cna-rules-v4-timeline","E019","containers.cna.timeline.1.event","Timeline entry must have an 'event' field"
"CVE-2025-3659","Digi","cvelistV5/cves/2025/3xxx/CVE-2025-3659.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2025-3659","Digi","cvelistV5/cves/2025/3xxx/CVE-2025-3659.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3659","Digi","cvelistV5/cves/2025/3xxx/CVE-2025-3659.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-3659","Digi","cvelistV5/cves/2025/3xxx/CVE-2025-3659.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
