"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-39937","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39937.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39936","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39936.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39935","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39935.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39934","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39934.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39933","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39933.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39841","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39841.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39840","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39840.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39839","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39839.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39838","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39838.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-39837","wikimedia-foundation","cvelistV5/cves/2026/39xxx/CVE-2026-39837.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-22711","wikimedia-foundation","cvelistV5/cves/2026/22xxx/CVE-2026-22711.json","check-custom-version-type","E011","containers.cna.affected.0.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-5762","wikimedia-foundation","cvelistV5/cves/2026/5xxx/CVE-2026-5762.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
