"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-custom-version-type","E011","containers.cna.affected.1.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-custom-version-type","E011","containers.cna.affected.1.versions.3.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8804","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8804.json","check-custom-version-type","E011","containers.cna.affected.1.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.8.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.4.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.9.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.10.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.5.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-8654","Perforce","cvelistV5/cves/2026/8xxx/CVE-2026-8654.json","check-custom-version-type","E011","containers.cna.affected.6.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-6902","Perforce","cvelistV5/cves/2026/6xxx/CVE-2026-6902.json","check-cna-rules-v4-basic","E015","cveMetadata.id","CVE ID must be present"
