"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2023-1656","ForgeRock","cvelistV5/cves/2023/1xxx/CVE-2023-1656.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24670","ForgeRock","cvelistV5/cves/2022/24xxx/CVE-2022-24670.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24670","ForgeRock","cvelistV5/cves/2022/24xxx/CVE-2022-24670.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24670","ForgeRock","cvelistV5/cves/2022/24xxx/CVE-2022-24670.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24669","ForgeRock","cvelistV5/cves/2022/24xxx/CVE-2022-24669.json","check-custom-version-type","E011","containers.cna.affected.0.versions.2.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24669","ForgeRock","cvelistV5/cves/2022/24xxx/CVE-2022-24669.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-24669","ForgeRock","cvelistV5/cves/2022/24xxx/CVE-2022-24669.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2022-0143","ForgeRock","cvelistV5/cves/2022/0xxx/CVE-2022-0143.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-4201","ForgeRock","cvelistV5/cves/2021/4xxx/CVE-2021-4201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2021-4201","ForgeRock","cvelistV5/cves/2021/4xxx/CVE-2021-4201.json","check-custom-version-type","E011","containers.cna.affected.0.versions.1.versionType","Custom versionType should be avoided per CVE schema documentation"
