"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2023-52314","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52314.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52313","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52313.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52312","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52312.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52311","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52311.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52310","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52310.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52309","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52309.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52308","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52308.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52307","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52307.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52306","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52306.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52305","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52305.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52304","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52304.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52303","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52303.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-52302","Baidu","cvelistV5/cves/2023/52xxx/CVE-2023-52302.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38678","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38678.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38677","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38677.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38676","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38676.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38675","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38675.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38674","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38674.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38673","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38673.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38672","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38672.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38671","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38671.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38670","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38670.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-38669","Baidu","cvelistV5/cves/2023/38xxx/CVE-2023-38669.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-46742","Baidu","cvelistV5/cves/2022/46xxx/CVE-2022-46742.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2022-46741","Baidu","cvelistV5/cves/2022/46xxx/CVE-2022-46741.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
