"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2025-68609","Palantir","cvelistV5/cves/2025/68xxx/CVE-2025-68609.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2025-53710","Palantir","cvelistV5/cves/2025/53xxx/CVE-2025-53710.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2024-49587","Palantir","cvelistV5/cves/2024/49xxx/CVE-2024-49587.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2023-30971","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30971.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2023-30970","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30970.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30969","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30969.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30968","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30968.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30968","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30968.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2023-30967","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30967.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30963","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30963.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30960","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30960.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30958","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30958.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30956","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30956.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-30952","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30952.json","check-affected-product-present","E006","containers.cna.affected","No affected product found"
"CVE-2023-30951","Palantir","cvelistV5/cves/2023/30xxx/CVE-2023-30951.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
