"CVE","CNA","File","RuleName","ErrorCode","ErrorPath","ErrorText"
"CVE-2026-64200","NI","cvelistV5/cves/2026/64xxx/CVE-2026-64200.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-64199","NI","cvelistV5/cves/2026/64xxx/CVE-2026-64199.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-64198","NI","cvelistV5/cves/2026/64xxx/CVE-2026-64198.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-64197","NI","cvelistV5/cves/2026/64xxx/CVE-2026-64197.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-64196","NI","cvelistV5/cves/2026/64xxx/CVE-2026-64196.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-64195","NI","cvelistV5/cves/2026/64xxx/CVE-2026-64195.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2026-9051","NI","cvelistV5/cves/2026/9xxx/CVE-2026-9051.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2025-9189","NI","cvelistV5/cves/2025/9xxx/CVE-2025-9189.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23612","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23612.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23611","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23611.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23611","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23611.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-23610","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23610.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-23610","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23610.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23609","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23609.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23608","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23608.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-23608","NI","cvelistV5/cves/2024/23xxx/CVE-2024-23608.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-4044","NI","cvelistV5/cves/2024/4xxx/CVE-2024-4044.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4044","NI","cvelistV5/cves/2024/4xxx/CVE-2024-4044.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-4044","NI","cvelistV5/cves/2024/4xxx/CVE-2024-4044.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1156","NI","cvelistV5/cves/2024/1xxx/CVE-2024-1156.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1156","NI","cvelistV5/cves/2024/1xxx/CVE-2024-1156.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1155","NI","cvelistV5/cves/2024/1xxx/CVE-2024-1155.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2024-1155","NI","cvelistV5/cves/2024/1xxx/CVE-2024-1155.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2024-1155","NI","cvelistV5/cves/2024/1xxx/CVE-2024-1155.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5136","NI","cvelistV5/cves/2023/5xxx/CVE-2023-5136.json","check-custom-version-type","E011","containers.cna.affected.2.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5136","NI","cvelistV5/cves/2023/5xxx/CVE-2023-5136.json","check-custom-version-type","E011","containers.cna.affected.3.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5136","NI","cvelistV5/cves/2023/5xxx/CVE-2023-5136.json","check-custom-version-type","E011","containers.cna.affected.1.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-5136","NI","cvelistV5/cves/2023/5xxx/CVE-2023-5136.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-4601","NI","cvelistV5/cves/2023/4xxx/CVE-2023-4601.json","check-custom-version-type","E011","containers.cna.affected.0.versions.0.versionType","Custom versionType should be avoided per CVE schema documentation"
"CVE-2023-4601","NI","cvelistV5/cves/2023/4xxx/CVE-2023-4601.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
"CVE-2023-4570","NI","cvelistV5/cves/2023/4xxx/CVE-2023-4570.json","check-leading-trailing-space","E004","containers.cna.descriptions.0.value","Trailing or leading whitespace in description"
